dataset,iters,norm,ndcg
NP2004,12,query-level normalization,0.16604
NP2004,12,global normalization,0.06288
HP2004,12,query-level normalization,0.18068
HP2004,12,global normalization,0.17888
OHSUMED,12,query-level normalization,0.43826
OHSUMED,12,global normalization,0.4268
TD2004,12,query-level normalization,0.16376
TD2004,12,global normalization,0.1224
HP2003,12,query-level normalization,0.51676
HP2003,12,global normalization,0.41452
TD2003,12,query-level normalization,0.19114
TD2003,12,global normalization,0.16952
NP2003,12,query-level normalization,0.0713
NP2003,12,global normalization,0.22312
NP2004,14,query-level normalization,0.05554
NP2004,14,global normalization,0.15632
HP2004,14,query-level normalization,0.1091
HP2004,14,global normalization,0.38738
OHSUMED,14,query-level normalization,0.43582
OHSUMED,14,global normalization,0.42896
TD2004,14,query-level normalization,0.12892
TD2004,14,global normalization,0.17656
HP2003,14,query-level normalization,0.22538
HP2003,14,global normalization,0.36686
TD2003,14,query-level normalization,0.21992
TD2003,14,global normalization,0.12898
NP2003,14,query-level normalization,0.11038
NP2003,14,global normalization,0.043
NP2004,16,query-level normalization,0.07876
NP2004,16,global normalization,0.16684
HP2004,16,query-level normalization,0.2013
HP2004,16,global normalization,0.01378
OHSUMED,16,query-level normalization,0.43294
OHSUMED,16,global normalization,0.43054
TD2004,16,query-level normalization,0.13024
TD2004,16,global normalization,0.1579
HP2003,16,query-level normalization,0.45142
HP2003,16,global normalization,0.66508
TD2003,16,query-level normalization,0.22882
TD2003,16,global normalization,0.2103
NP2003,16,query-level normalization,0.05646
NP2003,16,global normalization,0.21336
NP2004,18,query-level normalization,0.14812
NP2004,18,global normalization,0.08956
HP2004,18,query-level normalization,0.40654
HP2004,18,global normalization,0.21158
OHSUMED,18,query-level normalization,0.4457
OHSUMED,18,global normalization,0.4376
TD2004,18,query-level normalization,0.25528
TD2004,18,global normalization,0.10284
HP2003,18,query-level normalization,0.51272
HP2003,18,global normalization,0.50756
TD2003,18,query-level normalization,0.13552
TD2003,18,global normalization,0.19568
NP2003,18,query-level normalization,0.15694
NP2003,18,global normalization,0.10852
NP2004,20,query-level normalization,0.07034
NP2004,20,global normalization,0.08358
HP2004,20,query-level normalization,0.33308
HP2004,20,global normalization,0.34738
OHSUMED,20,query-level normalization,0.43526
OHSUMED,20,global normalization,0.43766
TD2004,20,query-level normalization,0.18072
TD2004,20,global normalization,0.19714
HP2003,20,query-level normalization,0.5603
HP2003,20,global normalization,0.61722
TD2003,20,query-level normalization,0.26224
TD2003,20,global normalization,0.10218
NP2003,20,query-level normalization,0.05466
NP2003,20,global normalization,0.08422
NP2004,22,query-level normalization,0.12188
NP2004,22,global normalization,0.1399
HP2004,22,query-level normalization,0.21158
HP2004,22,global normalization,0.1946
OHSUMED,22,query-level normalization,0.43986
OHSUMED,22,global normalization,0.4449
TD2004,22,query-level normalization,0.25614
TD2004,22,global normalization,0.17506
HP2003,22,query-level normalization,0.6186
HP2003,22,global normalization,0.66374
TD2003,22,query-level normalization,0.18778
TD2003,22,global normalization,0.16342
NP2003,22,query-level normalization,0.10534
NP2003,22,global normalization,0.08114
NP2004,24,query-level normalization,0.04444
NP2004,24,global normalization,0.1402
HP2004,24,query-level normalization,0.42404
HP2004,24,global normalization,0.22804
OHSUMED,24,query-level normalization,0.43586
OHSUMED,24,global normalization,0.43862
TD2004,24,query-level normalization,0.12986
TD2004,24,global normalization,0.1
HP2003,24,query-level normalization,0.67992
HP2003,24,global normalization,0.69302
TD2003,24,query-level normalization,0.20198
TD2003,24,global normalization,0.22272
NP2003,24,query-level normalization,0.26524
NP2003,24,global normalization,0.09562
NP2004,26,query-level normalization,0.07446
NP2004,26,global normalization,0.12022
HP2004,26,query-level normalization,0.42164
HP2004,26,global normalization,0.26558
OHSUMED,26,query-level normalization,0.44334
OHSUMED,26,global normalization,0.44276
TD2004,26,query-level normalization,0.17478
TD2004,26,global normalization,0.14924
HP2003,26,query-level normalization,0.69246
HP2003,26,global normalization,0.6518
TD2003,26,query-level normalization,0.21348
TD2003,26,global normalization,0.18228
NP2003,26,query-level normalization,0.0628
NP2003,26,global normalization,0.12116
NP2004,28,query-level normalization,0.15172
NP2004,28,global normalization,0.08556
HP2004,28,query-level normalization,0.28214
HP2004,28,global normalization,0.05636
OHSUMED,28,query-level normalization,0.43908
OHSUMED,28,global normalization,0.43586
TD2004,28,query-level normalization,0.1783
TD2004,28,global normalization,0.21456
HP2003,28,query-level normalization,0.59522
HP2003,28,global normalization,0.65172
TD2003,28,query-level normalization,0.23862
TD2003,28,global normalization,0.23438
NP2003,28,query-level normalization,0.1034
NP2003,28,global normalization,0.19478
NP2004,30,query-level normalization,0.05032
NP2004,30,global normalization,0.0584
HP2004,30,query-level normalization,0.45006
HP2004,30,global normalization,0.06744
OHSUMED,30,query-level normalization,0.44232
OHSUMED,30,global normalization,0.4389
TD2004,30,query-level normalization,0.19592
TD2004,30,global normalization,0.15708
HP2003,30,query-level normalization,0.73766
HP2003,30,global normalization,0.70296
TD2003,30,query-level normalization,0.26988
TD2003,30,global normalization,0.17738
NP2003,30,query-level normalization,0.02134
NP2003,30,global normalization,0.06812
NP2004,32,query-level normalization,0.21716
NP2004,32,global normalization,0.08858
HP2004,32,query-level normalization,0.14082
HP2004,32,global normalization,0.24276
OHSUMED,32,query-level normalization,0.43706
OHSUMED,32,global normalization,0.441
TD2004,32,query-level normalization,0.23476
TD2004,32,global normalization,0.21446
HP2003,32,query-level normalization,0.65186
HP2003,32,global normalization,0.6393
TD2003,32,query-level normalization,0.22212
TD2003,32,global normalization,0.21022
NP2003,32,query-level normalization,0.01372
NP2003,32,global normalization,0.16494
NP2004,34,query-level normalization,0.10972
NP2004,34,global normalization,0.06386
HP2004,34,query-level normalization,0.31416
HP2004,34,global normalization,0.0869
OHSUMED,34,query-level normalization,0.43536
OHSUMED,34,global normalization,0.4413
TD2004,34,query-level normalization,0.12494
TD2004,34,global normalization,0.17982
HP2003,34,query-level normalization,0.669
HP2003,34,global normalization,0.73268
TD2003,34,query-level normalization,0.25394
TD2003,34,global normalization,0.22028
NP2003,34,query-level normalization,0.1032
NP2003,34,global normalization,0.05276
NP2004,36,query-level normalization,0.09678
NP2004,36,global normalization,0.07512
HP2004,36,query-level normalization,0.13804
HP2004,36,global normalization,0.02752
OHSUMED,36,query-level normalization,0.44302
OHSUMED,36,global normalization,0.44106
TD2004,36,query-level normalization,0.20604
TD2004,36,global normalization,0.16228
HP2003,36,query-level normalization,0.74298
HP2003,36,global normalization,0.75008
TD2003,36,query-level normalization,0.20288
TD2003,36,global normalization,0.2596
NP2003,36,query-level normalization,0.07662
NP2003,36,global normalization,0.11664
NP2004,38,query-level normalization,0.02102
NP2004,38,global normalization,0.1156
HP2004,38,query-level normalization,0.16966
HP2004,38,global normalization,0.15324
OHSUMED,38,query-level normalization,0.43826
OHSUMED,38,global normalization,0.43982
TD2004,38,query-level normalization,0.20214
TD2004,38,global normalization,0.24418
HP2003,38,query-level normalization,0.67544
HP2003,38,global normalization,0.70188
TD2003,38,query-level normalization,0.19728
TD2003,38,global normalization,0.24038
NP2003,38,query-level normalization,0.1407
NP2003,38,global normalization,0.04798
NP2004,40,query-level normalization,0.06784
NP2004,40,global normalization,0.1642
HP2004,40,query-level normalization,0.33724
HP2004,40,global normalization,0.11352
OHSUMED,40,query-level normalization,0.44776
OHSUMED,40,global normalization,0.44378
TD2004,40,query-level normalization,0.19244
TD2004,40,global normalization,0.1873
HP2003,40,query-level normalization,0.69438
HP2003,40,global normalization,0.76282
TD2003,40,query-level normalization,0.19666
TD2003,40,global normalization,0.21888
NP2003,40,query-level normalization,0.2336
NP2003,40,global normalization,0.2049
NP2004,42,query-level normalization,0.08352
NP2004,42,global normalization,0.08168
HP2004,42,query-level normalization,0.00402
HP2004,42,global normalization,0.12436
OHSUMED,42,query-level normalization,0.44018
OHSUMED,42,global normalization,0.44572
TD2004,42,query-level normalization,0.2317
TD2004,42,global normalization,0.20346
HP2003,42,query-level normalization,0.6506
HP2003,42,global normalization,0.71674
TD2003,42,query-level normalization,0.21144
TD2003,42,global normalization,0.22298
NP2003,42,query-level normalization,0.07622
NP2003,42,global normalization,0.18174
NP2004,44,query-level normalization,0.13328
NP2004,44,global normalization,0.06898
HP2004,44,query-level normalization,0.3678
HP2004,44,global normalization,0.23628
OHSUMED,44,query-level normalization,0.43984
OHSUMED,44,global normalization,0.43502
TD2004,44,query-level normalization,0.24696
TD2004,44,global normalization,0.22398
HP2003,44,query-level normalization,0.69328
HP2003,44,global normalization,0.65366
TD2003,44,query-level normalization,0.2615
TD2003,44,global normalization,0.19142
NP2003,44,query-level normalization,0.07958
NP2003,44,global normalization,0.0302
NP2004,46,query-level normalization,0.16468
NP2004,46,global normalization,0.2048
HP2004,46,query-level normalization,0.02252
HP2004,46,global normalization,0.31456
OHSUMED,46,query-level normalization,0.44148
OHSUMED,46,global normalization,0.43708
TD2004,46,query-level normalization,0.23118
TD2004,46,global normalization,0.22748
HP2003,46,query-level normalization,0.73762
HP2003,46,global normalization,0.7109
TD2003,46,query-level normalization,0.22778
TD2003,46,global normalization,0.17996
NP2003,46,query-level normalization,0.0333
NP2003,46,global normalization,0.06244
NP2004,48,query-level normalization,0.2201
NP2004,48,global normalization,0.13048
HP2004,48,query-level normalization,0.27658
HP2004,48,global normalization,0.03776
OHSUMED,48,query-level normalization,0.4447
OHSUMED,48,global normalization,0.44208
TD2004,48,query-level normalization,0.17992
TD2004,48,global normalization,0.1941
HP2003,48,query-level normalization,0.76176
HP2003,48,global normalization,0.69478
TD2003,48,query-level normalization,0.25054
TD2003,48,global normalization,0.22296
NP2003,48,query-level normalization,0.16786
NP2003,48,global normalization,0.26194
NP2004,50,query-level normalization,0.1611
NP2004,50,global normalization,0.13752
HP2004,50,query-level normalization,0.46546
HP2004,50,global normalization,0.17756
OHSUMED,50,query-level normalization,0.44474
OHSUMED,50,global normalization,0.44904
TD2004,50,query-level normalization,0.25588
TD2004,50,global normalization,0.1186
HP2003,50,query-level normalization,0.70024
HP2003,50,global normalization,0.72274
TD2003,50,query-level normalization,0.25246
TD2003,50,global normalization,0.21766
NP2003,50,query-level normalization,0.0883
NP2003,50,global normalization,0.10474
NP2004,52,query-level normalization,0.14062
NP2004,52,global normalization,0.13326
HP2004,52,query-level normalization,0.53644
HP2004,52,global normalization,0.01778
OHSUMED,52,query-level normalization,0.44532
OHSUMED,52,global normalization,0.4416
TD2004,52,query-level normalization,0.21016
TD2004,52,global normalization,0.2416
HP2003,52,query-level normalization,0.71336
HP2003,52,global normalization,0.73452
TD2003,52,query-level normalization,0.24298
TD2003,52,global normalization,0.2877
NP2003,52,query-level normalization,0.20058
NP2003,52,global normalization,0.11238
NP2004,54,query-level normalization,0.12106
NP2004,54,global normalization,0.08726
HP2004,54,query-level normalization,0.18842
HP2004,54,global normalization,0.61146
OHSUMED,54,query-level normalization,0.43922
OHSUMED,54,global normalization,0.44476
TD2004,54,query-level normalization,0.21744
TD2004,54,global normalization,0.24842
HP2003,54,query-level normalization,0.69008
HP2003,54,global normalization,0.67528
TD2003,54,query-level normalization,0.30846
TD2003,54,global normalization,0.2688
NP2003,54,query-level normalization,0.0431
NP2003,54,global normalization,0.08202
NP2004,56,query-level normalization,0.06834
NP2004,56,global normalization,0.04818
HP2004,56,query-level normalization,0.29654
HP2004,56,global normalization,0.67242
OHSUMED,56,query-level normalization,0.44282
OHSUMED,56,global normalization,0.43968
TD2004,56,query-level normalization,0.25474
TD2004,56,global normalization,0.24152
HP2003,56,query-level normalization,0.64898
HP2003,56,global normalization,0.75374
TD2003,56,query-level normalization,0.26174
TD2003,56,global normalization,0.2229
NP2003,56,query-level normalization,0.09494
NP2003,56,global normalization,0.14712
NP2004,58,query-level normalization,0.12222
NP2004,58,global normalization,0.20778
HP2004,58,query-level normalization,0.27292
HP2004,58,global normalization,0.41916
OHSUMED,58,query-level normalization,0.4261
OHSUMED,58,global normalization,0.43956
TD2004,58,query-level normalization,0.16652
TD2004,58,global normalization,0.2659
HP2003,58,query-level normalization,0.73078
HP2003,58,global normalization,0.68042
TD2003,58,query-level normalization,0.2259
TD2003,58,global normalization,0.2068
NP2003,58,query-level normalization,0.14566
NP2003,58,global normalization,0.0953
NP2004,60,query-level normalization,0.19844
NP2004,60,global normalization,0.21712
HP2004,60,query-level normalization,0.34006
HP2004,60,global normalization,0.11502
OHSUMED,60,query-level normalization,0.44048
OHSUMED,60,global normalization,0.44008
TD2004,60,query-level normalization,0.28274
TD2004,60,global normalization,0.17192
HP2003,60,query-level normalization,0.70122
HP2003,60,global normalization,0.67572
TD2003,60,query-level normalization,0.2775
TD2003,60,global normalization,0.21342
NP2003,60,query-level normalization,0.14744
NP2003,60,global normalization,0.0442
NP2004,62,query-level normalization,0.16736
NP2004,62,global normalization,0.09606
HP2004,62,query-level normalization,0.25188
HP2004,62,global normalization,0.43874
OHSUMED,62,query-level normalization,0.44654
OHSUMED,62,global normalization,0.44032
TD2004,62,query-level normalization,0.18082
TD2004,62,global normalization,0.2148
HP2003,62,query-level normalization,0.66558
HP2003,62,global normalization,0.70462
TD2003,62,query-level normalization,0.17234
TD2003,62,global normalization,0.25084
NP2003,62,query-level normalization,0.18716
NP2003,62,global normalization,0.07052
NP2004,64,query-level normalization,0.20264
NP2004,64,global normalization,0.05804
HP2004,64,query-level normalization,0.23856
HP2004,64,global normalization,0.56138
OHSUMED,64,query-level normalization,0.44466
OHSUMED,64,global normalization,0.4409
TD2004,64,query-level normalization,0.20244
TD2004,64,global normalization,0.16684
HP2003,64,query-level normalization,0.73678
HP2003,64,global normalization,0.7639
TD2003,64,query-level normalization,0.25442
TD2003,64,global normalization,0.24586
NP2003,64,query-level normalization,0.18522
NP2003,64,global normalization,0.1518
NP2004,66,query-level normalization,0.12874
NP2004,66,global normalization,0.17476
HP2004,66,query-level normalization,0.01334
HP2004,66,global normalization,0.2428
OHSUMED,66,query-level normalization,0.4418
OHSUMED,66,global normalization,0.44192
TD2004,66,query-level normalization,0.18618
TD2004,66,global normalization,0.2221
HP2003,66,query-level normalization,0.67706
HP2003,66,global normalization,0.70636
TD2003,66,query-level normalization,0.26916
TD2003,66,global normalization,0.27388
NP2003,66,query-level normalization,0.11406
NP2003,66,global normalization,0.0544
NP2004,68,query-level normalization,0.17538
NP2004,68,global normalization,0.07474
HP2004,68,query-level normalization,0.46474
HP2004,68,global normalization,0.44876
OHSUMED,68,query-level normalization,0.4388
OHSUMED,68,global normalization,0.43714
TD2004,68,query-level normalization,0.18808
TD2004,68,global normalization,0.16476
HP2003,68,query-level normalization,0.70706
HP2003,68,global normalization,0.6529
TD2003,68,query-level normalization,0.2444
TD2003,68,global normalization,0.2269
NP2003,68,query-level normalization,0.14666
NP2003,68,global normalization,0.0956
NP2004,70,query-level normalization,0.24226
NP2004,70,global normalization,0.11278
HP2004,70,query-level normalization,0.43008
HP2004,70,global normalization,0.45342
OHSUMED,70,query-level normalization,0.4377
OHSUMED,70,global normalization,0.44096
TD2004,70,query-level normalization,0.20126
TD2004,70,global normalization,0.20992
HP2003,70,query-level normalization,0.7352
HP2003,70,global normalization,0.74048
TD2003,70,query-level normalization,0.23434
TD2003,70,global normalization,0.27124
NP2003,70,query-level normalization,0.1902
NP2003,70,global normalization,0.1198
NP2004,72,query-level normalization,0.126
NP2004,72,global normalization,0.07656
HP2004,72,query-level normalization,0.51544
HP2004,72,global normalization,0.40806
OHSUMED,72,query-level normalization,0.4372
OHSUMED,72,global normalization,0.4351
TD2004,72,query-level normalization,0.21036
TD2004,72,global normalization,0.1965
HP2003,72,query-level normalization,0.69954
HP2003,72,global normalization,0.71712
TD2003,72,query-level normalization,0.22906
TD2003,72,global normalization,0.2546
NP2003,72,query-level normalization,0.11432
NP2003,72,global normalization,0.06896
NP2004,74,query-level normalization,0.17322
NP2004,74,global normalization,0.17928
HP2004,74,query-level normalization,0.35282
HP2004,74,global normalization,0.19258
OHSUMED,74,query-level normalization,0.44192
OHSUMED,74,global normalization,0.44322
TD2004,74,query-level normalization,0.21058
TD2004,74,global normalization,0.2377
HP2003,74,query-level normalization,0.73346
HP2003,74,global normalization,0.71234
TD2003,74,query-level normalization,0.29424
TD2003,74,global normalization,0.23318
NP2003,74,query-level normalization,0.14508
NP2003,74,global normalization,0.1251
NP2004,76,query-level normalization,0.16602
NP2004,76,global normalization,0.03488
HP2004,76,query-level normalization,0.14172
HP2004,76,global normalization,0.33326
OHSUMED,76,query-level normalization,0.44476
OHSUMED,76,global normalization,0.44308
TD2004,76,query-level normalization,0.26118
TD2004,76,global normalization,0.28386
HP2003,76,query-level normalization,0.67652
HP2003,76,global normalization,0.70348
TD2003,76,query-level normalization,0.21508
TD2003,76,global normalization,0.28788
NP2003,76,query-level normalization,0.19556
NP2003,76,global normalization,0.08742
NP2004,78,query-level normalization,0.13282
NP2004,78,global normalization,0.06538
HP2004,78,query-level normalization,0.5004
HP2004,78,global normalization,0.28458
OHSUMED,78,query-level normalization,0.44294
OHSUMED,78,global normalization,0.44
TD2004,78,query-level normalization,0.24556
TD2004,78,global normalization,0.23104
HP2003,78,query-level normalization,0.68074
HP2003,78,global normalization,0.66892
TD2003,78,query-level normalization,0.20748
TD2003,78,global normalization,0.2647
NP2003,78,query-level normalization,0.0929
NP2003,78,global normalization,0.18478
NP2004,80,query-level normalization,0.09102
NP2004,80,global normalization,0.09626
HP2004,80,query-level normalization,0.19352
HP2004,80,global normalization,0.19386
OHSUMED,80,query-level normalization,0.44128
OHSUMED,80,global normalization,0.4401
TD2004,80,query-level normalization,0.22098
TD2004,80,global normalization,0.22566
HP2003,80,query-level normalization,0.73768
HP2003,80,global normalization,0.70212
TD2003,80,query-level normalization,0.25394
TD2003,80,global normalization,0.27076
NP2003,80,query-level normalization,0.1304
NP2003,80,global normalization,0.1388
NP2004,82,query-level normalization,0.24288
NP2004,82,global normalization,0.21176
HP2004,82,query-level normalization,0.12486
HP2004,82,global normalization,0.31494
OHSUMED,82,query-level normalization,0.4429
OHSUMED,82,global normalization,0.4424
TD2004,82,query-level normalization,0.23584
TD2004,82,global normalization,0.2225
HP2003,82,query-level normalization,0.6763
HP2003,82,global normalization,0.74392
TD2003,82,query-level normalization,0.24984
TD2003,82,global normalization,0.23402
NP2003,82,query-level normalization,0.106
NP2003,82,global normalization,0.15198
NP2004,84,query-level normalization,0.1021
NP2004,84,global normalization,0.13592
HP2004,84,query-level normalization,0.2592
HP2004,84,global normalization,0.49112
OHSUMED,84,query-level normalization,0.4406
OHSUMED,84,global normalization,0.4388
TD2004,84,query-level normalization,0.2085
TD2004,84,global normalization,0.22472
HP2003,84,query-level normalization,0.69644
HP2003,84,global normalization,0.77316
TD2003,84,query-level normalization,0.29656
TD2003,84,global normalization,0.26894
NP2003,84,query-level normalization,0.12208
NP2003,84,global normalization,0.05482
NP2004,86,query-level normalization,0.06908
NP2004,86,global normalization,0.06526
HP2004,86,query-level normalization,0.2235
HP2004,86,global normalization,0.16
OHSUMED,86,query-level normalization,0.44638
OHSUMED,86,global normalization,0.44062
TD2004,86,query-level normalization,0.2568
TD2004,86,global normalization,0.243
HP2003,86,query-level normalization,0.70832
HP2003,86,global normalization,0.71216
TD2003,86,query-level normalization,0.26076
TD2003,86,global normalization,0.26448
NP2003,86,query-level normalization,0.07592
NP2003,86,global normalization,0.20478
NP2004,88,query-level normalization,0.09474
NP2004,88,global normalization,0.1133
HP2004,88,query-level normalization,0.58938
HP2004,88,global normalization,0.14188
OHSUMED,88,query-level normalization,0.44462
OHSUMED,88,global normalization,0.4458
TD2004,88,query-level normalization,0.27372
TD2004,88,global normalization,0.24384
HP2003,88,query-level normalization,0.72804
HP2003,88,global normalization,0.71844
TD2003,88,query-level normalization,0.25224
TD2003,88,global normalization,0.23634
NP2003,88,query-level normalization,0.16654
NP2003,88,global normalization,0.22516
NP2004,90,query-level normalization,0.1193
NP2004,90,global normalization,0.08186
HP2004,90,query-level normalization,0.60364
HP2004,90,global normalization,0.24066
OHSUMED,90,query-level normalization,0.4367
OHSUMED,90,global normalization,0.43936
TD2004,90,query-level normalization,0.2425
TD2004,90,global normalization,0.2286
HP2003,90,query-level normalization,0.76022
HP2003,90,global normalization,0.71242
TD2003,90,query-level normalization,0.25374
TD2003,90,global normalization,0.2682
NP2003,90,query-level normalization,0.0961
NP2003,90,global normalization,0.1596
NP2004,92,query-level normalization,0.12144
NP2004,92,global normalization,0.15312
HP2004,92,query-level normalization,0.27456
HP2004,92,global normalization,0.24046
OHSUMED,92,query-level normalization,0.43838
OHSUMED,92,global normalization,0.44042
TD2004,92,query-level normalization,0.2134
TD2004,92,global normalization,0.23616
HP2003,92,query-level normalization,0.75866
HP2003,92,global normalization,0.74324
TD2003,92,query-level normalization,0.30092
TD2003,92,global normalization,0.26178
NP2003,92,query-level normalization,0.07158
NP2003,92,global normalization,0.08142
NP2004,94,query-level normalization,0.16256
NP2004,94,global normalization,0.14984
HP2004,94,query-level normalization,0.24004
HP2004,94,global normalization,0.3688
OHSUMED,94,query-level normalization,0.44332
OHSUMED,94,global normalization,0.44194
TD2004,94,query-level normalization,0.27552
TD2004,94,global normalization,0.21322
HP2003,94,query-level normalization,0.73616
HP2003,94,global normalization,0.69524
TD2003,94,query-level normalization,0.26174
TD2003,94,global normalization,0.26562
NP2003,94,query-level normalization,0.144
NP2003,94,global normalization,0.09312
NP2004,96,query-level normalization,0.13008
NP2004,96,global normalization,0.11942
HP2004,96,query-level normalization,0.61108
HP2004,96,global normalization,0.39678
OHSUMED,96,query-level normalization,0.43922
OHSUMED,96,global normalization,0.4389
TD2004,96,query-level normalization,0.1914
TD2004,96,global normalization,0.18686
HP2003,96,query-level normalization,0.74626
HP2003,96,global normalization,0.74184
TD2003,96,query-level normalization,0.29432
TD2003,96,global normalization,0.26944
NP2003,96,query-level normalization,0.2791
NP2003,96,global normalization,0.18686
NP2004,98,query-level normalization,0.13296
NP2004,98,global normalization,0.15152
HP2004,98,query-level normalization,0.38888
HP2004,98,global normalization,0.31716
OHSUMED,98,query-level normalization,0.43732
OHSUMED,98,global normalization,0.43848
TD2004,98,query-level normalization,0.24126
TD2004,98,global normalization,0.25498
HP2003,98,query-level normalization,0.73446
HP2003,98,global normalization,0.69804
TD2003,98,query-level normalization,0.27646
TD2003,98,global normalization,0.24456
NP2003,98,query-level normalization,0.26922
NP2003,98,global normalization,0.16078
NP2004,100,query-level normalization,0.06704
NP2004,100,global normalization,0.08212
HP2004,100,query-level normalization,0.15458
HP2004,100,global normalization,0.27772
OHSUMED,100,query-level normalization,0.44476
OHSUMED,100,global normalization,0.44026
TD2004,100,query-level normalization,0.32744
TD2004,100,global normalization,0.21478
HP2003,100,query-level normalization,0.7327
HP2003,100,global normalization,0.71536
TD2003,100,query-level normalization,0.34266
TD2003,100,global normalization,0.26484
NP2003,100,query-level normalization,0.16856
NP2003,100,global normalization,0.09512
NP2004,102,query-level normalization,0.1488
NP2004,102,global normalization,0.12592
HP2004,102,query-level normalization,0.50502
HP2004,102,global normalization,0.17772
OHSUMED,102,query-level normalization,0.44012
OHSUMED,102,global normalization,0.43896
TD2004,102,query-level normalization,0.20088
TD2004,102,global normalization,0.26208
HP2003,102,query-level normalization,0.7183
HP2003,102,global normalization,0.69626
TD2003,102,query-level normalization,0.26328
TD2003,102,global normalization,0.2673
NP2003,102,query-level normalization,0.19452
NP2003,102,global normalization,0.13158
NP2004,104,query-level normalization,0.20134
NP2004,104,global normalization,0.13514
HP2004,104,query-level normalization,0.08646
HP2004,104,global normalization,0.0644
OHSUMED,104,query-level normalization,0.43646
OHSUMED,104,global normalization,0.44414
TD2004,104,query-level normalization,0.19678
TD2004,104,global normalization,0.25768
HP2003,104,query-level normalization,0.71386
HP2003,104,global normalization,0.70122
TD2003,104,query-level normalization,0.2343
TD2003,104,global normalization,0.26276
NP2003,104,query-level normalization,0.16546
NP2003,104,global normalization,0.16288
NP2004,106,query-level normalization,0.11614
NP2004,106,global normalization,0.12806
HP2004,106,query-level normalization,0.2171
HP2004,106,global normalization,0.10092
OHSUMED,106,query-level normalization,0.44076
OHSUMED,106,global normalization,0.44096
TD2004,106,query-level normalization,0.24714
TD2004,106,global normalization,0.24292
HP2003,106,query-level normalization,0.72514
HP2003,106,global normalization,0.66916
TD2003,106,query-level normalization,0.28812
TD2003,106,global normalization,0.23632
NP2003,106,query-level normalization,0.19038
NP2003,106,global normalization,0.07838
NP2004,108,query-level normalization,0.17784
NP2004,108,global normalization,0.1198
HP2004,108,query-level normalization,0.46588
HP2004,108,global normalization,0.0185
OHSUMED,108,query-level normalization,0.45154
OHSUMED,108,global normalization,0.43676
TD2004,108,query-level normalization,0.26666
TD2004,108,global normalization,0.22118
HP2003,108,query-level normalization,0.68856
HP2003,108,global normalization,0.7144
TD2003,108,query-level normalization,0.25816
TD2003,108,global normalization,0.27752
NP2003,108,query-level normalization,0.19112
NP2003,108,global normalization,0.1425
NP2004,110,query-level normalization,0.12368
NP2004,110,global normalization,0.13028
HP2004,110,query-level normalization,0.15278
HP2004,110,global normalization,0.23378
OHSUMED,110,query-level normalization,0.43792
OHSUMED,110,global normalization,0.44566
TD2004,110,query-level normalization,0.22374
TD2004,110,global normalization,0.26956
